agency,site_no,site,description,date_time,flow,comments
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T17:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T18:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T19:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T20:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T21:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T22:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-04T23:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T00:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T01:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T02:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T03:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T04:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T05:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T06:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T07:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T08:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T09:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T10:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T11:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T12:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T13:00:00Z,16.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T14:00:00Z,16.975,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T15:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T16:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T17:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T18:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T19:00:00Z,17.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T20:00:00Z,18.025,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T21:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T22:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-05T23:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T00:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T01:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T02:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T03:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T04:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T05:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T06:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T07:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T08:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T09:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T10:00:00Z,18.2,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T11:00:00Z,18.65,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T12:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T13:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T14:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T15:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T16:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T17:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T18:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T19:00:00Z,18.8,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T20:00:00Z,18.975,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T21:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T22:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-06T23:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T00:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T01:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T02:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T03:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T04:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T05:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T06:00:00Z,19.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T07:00:00Z,19.9,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T08:00:00Z,20.3,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T09:00:00Z,20.3,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T10:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T11:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T12:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T13:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T14:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T15:00:00Z,21,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T16:00:00Z,21.7,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T17:00:00Z,21.7,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T18:00:00Z,21.7,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T19:00:00Z,22.15,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T20:00:00Z,22.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T21:00:00Z,22.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T22:00:00Z,22.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-07T23:00:00Z,23.35,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T00:00:00Z,23.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T01:00:00Z,23.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T02:00:00Z,24.05,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T03:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T04:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T05:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T06:00:00Z,25.25,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T07:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T08:00:00Z,26.25,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T09:00:00Z,26.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T10:00:00Z,26.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T11:00:00Z,26.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T12:00:00Z,25.75,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T13:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T14:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T15:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T16:00:00Z,25,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T17:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T18:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T19:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T20:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T21:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T22:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-08T23:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T00:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T01:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T02:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T03:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T04:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T05:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T06:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T07:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T08:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T09:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T10:00:00Z,25.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T11:00:00Z,24.75,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T12:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T13:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T14:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T15:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T16:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T17:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T18:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T19:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T20:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T21:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T22:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-09T23:00:00Z,24.5,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-10T00:00:00Z,24.05,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-10T01:00:00Z,23.6,
USGS,01644000,goose,"Goose Creek near Leesburg, VA",2019-10-10T02:00:00Z,23.6,
